   rho_c        M         M_0         R         Omega      Omega_p       T/W           C*J/GM_s^2      I        h_plus       h_minus       Z_p      Z_b        Z_f       omega_c/Omega   r_e     r_ratio     Omega_pa    Omega+    u_phi
1.50000e+15 2.14323e+00 2.50642e+00 1.24396e+01 9.90050e-01 1.20231e+00 1.19088e-01 3.01400e+00 2.67546e+00 1.47287e+00 1.37756e+01 6.36298e-01 1.76338e+00 -2.23733e-01 7.06953e-01 2.39346e-01 6.50879e-01
r/(r+r_e)  cos(theta)     rho        gamma      alpha      omega     pressure
0.0000e+00 8.4375e-01 -1.6089e+00 -1.8696e-01 7.1096e-01 6.9992e-01 4.1275e+35
0.0000e+00 8.5938e-01 -1.6089e+00 -1.8696e-01 7.1096e-01 6.9992e-01 4.1275e+35
0.0000e+00 8.7500e-01 -1.6089e+00 -1.8696e-01 7.1096e-01 6.9992e-01 4.1275e+35
0.0000e+00 8.9062e-01 -1.6089e+00 -1.8696e-01 7.1096e-01 6.9992e-01 4.1275e+35
0.0000e+00 9.0625e-01 -1.6089e+00 -1.8696e-01 7.1096e-01 6.9992e-01 4.1275e+35
0.0000e+00 9.2188e-01 -1.6089e+00 -1.8696e-01 7.1096e-01 6.9992e-01 4.1275e+35
0.0000e+00 9.3750e-01 -1.6089e+00 -1.8696e-01 7.1096e-01 6.9992e-01 4.1275e+35
0.0000e+00 9.5312e-01 -1.6089e+00 -1.8696e-01 7.1096e-01 6.9992e-01 4.1275e+35
0.0000e+00 9.6875e-01 -1.6089e+00 -1.8696e-01 7.1096e-01 6.9992e-01 4.1275e+35
0.0000e+00 9.8438e-01 -1.6089e+00 -1.8696e-01 7.1096e-01 6.9992e-01 4.1275e+35
0.0000e+00 1.0000e+00 -1.6089e+00 -1.8696e-01 7.1096e-01 6.9992e-01 4.1275e+35
7.8117e-03 0.0000e+00 -1.6089e+00 -1.8697e-01 7.1097e-01 6.9992e-01 4.1278e+35
7.8117e-03 1.5625e-02 -1.6089e+00 -1.8697e-01 7.1097e-01 6.9992e-01 4.1278e+35
7.8117e-03 3.1250e-02 -1.6089e+00 -1.8697e-01 7.1097e-01 6.9992e-01 4.1278e+35
7.8117e-03 4.6875e-02 -1.6089e+00 -1.8697e-01 7.1097e-01 6.9992e-01 4.1278e+35
7.8117e-03 6.2500e-02 -1.6089e+00 -1.8697e-01 7.1097e-01 6.9992e-01 4.1278e+35
7.8117e-03 7.8125e-02 -1.6089e+00 -1.8697e-01 7.1097e-01 6.9992e-01 4.1278e+35
7.8117e-03 9.3750e-02 -1.6089e+00 -1.8697e-01 7.1097e-01 6.9992e-01 4.1278e+35
7.8117e-03 1.0938e-01 -1.6089e+00 -1.8697e-01 7.1097e-01 6.9992e-01 4.1278e+35
7.8117e-03 1.2500e-01 -1.6089e+00 -1.8697e-01 7.1097e-01 6.9992e-01 4.1278e+35
7.8117e-03 1.4062e-01 -1.6089e+00 -1.8697e-01 7.1097e-01 6.9992e-01 4.1278e+35
7.8117e-03 1.5625e-01 -1.6089e+00 -1.8697e-01 7.1097e-01 6.9992e-01 4.1278e+35
7.8117e-03 1.7188e-01 -1.6089e+00 -1.8697e-01 7.1097e-01 6.9992e-01 4.1278e+35
7.8117e-03 1.8750e-01 -1.6089e+00 -1.8697e-01 7.1097e-01 6.9992e-01 4.1278e+35
7.8117e-03 2.0312e-01 -1.6089e+00 -1.8697e-01 7.1097e-01 6.9992e-01 4.1278e+35
7.8117e-03 2.1875e-01 -1.6089e+00 -1.8697e-01 7.1097e-01 6.9992e-01 4.1278e+35
7.8117e-03 2.3438e-01 -1.6089e+00 -1.8697e-01 7.1097e-01 6.9992e-01 4.1278e+35
7.8117e-03 2.5000e-01 -1.6089e+00 -1.8697e-01 7.1097e-01 6.9992e-01 4.1278e+35
7.8117e-03 2.6562e-01 -1.6089e+00 -1.8697e-01 7.1097e-01 6.9992e-01 4.1278e+35
7.8117e-03 2.8125e-01 -1.6089e+00 -1.8697e-01 7.1097e-01 6.9992e-01 4.1278e+35
7.8117e-03 2.9688e-01 -1.6089e+00 -1.8697e-01 7.1097e-01 6.9992e-01 4.1278e+35
7.8117e-03 3.1250e-01 -1.6089e+00 -1.8697e-01 7.1097e-01 6.9992e-01 4.1277e+35
7.8117e-03 3.2812e-01 -1.6089e+00 -1.8697e-01 7.1097e-01 6.9992e-01 4.1277e+35
7.8117e-03 3.4375e-01 -1.6089e+00 -1.8697e-01 7.1097e-01 6.9991e-01 4.1277e+35
7.8117e-03 3.5938e-01 -1.6089e+00 -1.8697e-01 7.1097e-01 6.9991e-01 4.1277e+35
7.8117e-03 3.7500e-01 -1.6089e+00 -1.8697e-01 7.1096e-01 6.9991e-01 4.1277e+35
7.8117e-03 3.9062e-01 -1.6089e+00 -1.8697e-01 7.1096e-01 6.9991e-01 4.1277e+35
7.8117e-03 4.0625e-01 -1.6089e+00 -1.8697e-01 7.1096e-01 6.9991e-01 4.1277e+35
7.8117e-03 4.2188e-01 -1.6089e+00 -1.8697e-01 7.1096e-01 6.9991e-01 4.1277e+35
7.8117e-03 4.3750e-01 -1.6089e+00 -1.8696e-01 7.1096e-01 6.9991e-01 4.1277e+35
7.8117e-03 4.5312e-01 -1.6089e+00 -1.8696e-01 7.1096e-01 6.9991e-01 4.1277e+35
7.8117e-03 4.6875e-01 -1.6089e+00 -1.8696e-01 7.1096e-01 6.9991e-01 4.1276e+35
7.8117e-03 4.8438e-01 -1.6089e+00 -1.8696e-01 7.1096e-01 6.9991e-01 4.1276e+35
7.8117e-03 5.0000e-01 -1.6089e+00 -1.8696e-01 7.1096e-01 6.9991e-01 4.1276e+35
7.8117e-03 5.1562e-01 -1.6089e+00 -1.8696e-01 7.1096e-01 6.9991e-01 4.1276e+35
7.8117e-03 5.3125e-01 -1.6089e+00 -1.8696e-01 7.1096e-01 6.9991e-01 4.1276e+35
7.8117e-03 5.4688e-01 -1.6089e+00 -1.8696e-01 7.1096e-01 6.9991e-01 4.1276e+35
7.8117e-03 5.6250e-01 -1.6089e+00 -1.8696e-01 7.1096e-01 6.9991e-01 4.1276e+35
7.8117e-03 5.7812e-01 -1.6089e+00 -1.8696e-01 7.1096e-01 6.9991e-01 4.1275e+35
7.8117e-03 5.9375e-01 -1.6089e+00 -1.8696e-01 7.1096e-01 6.9991e-01 4.1275e+35
7.8117e-03 6.0938e-01 -1.6089e+00 -1.8696e-01 7.1096e-01 6.9991e-01 4.1275e+35
7.8117e-03 6.2500e-01 -1.6089e+00 -1.8696e-01 7.1096e-01 6.9991e-01 4.1275e+35
7.8117e-03 6.4062e-01 -1.6089e+00 -1.8696e-01 7.1096e-01 6.9991e-01 4.1275e+35
7.8117e-03 6.5625e-01 -1.6089e+00 -1.8696e-01 7.1096e-01 6.9991e-01 4.1275e+35
7.8117e-03 6.7188e-01 -1.6089e+00 -1.8696e-01 7.1096e-01 6.9991e-01 4.1274e+35
7.8117e-03 6.8750e-01 -1.6089e+00 -1.8696e-01 7.1096e-01 6.9991e-01 4.1274e+35
7.8117e-03 7.0312e-01 -1.6089e+00 -1.8696e-01 7.1096e-01 6.9990e-01 4.1274e+35
7.8117e-03 7.1875e-01 -1.6089e+00 -1.8696e-01 7.1096e-01 6.9990e-01 4.1274e+35
7.8117e-03 7.3438e-01 -1.6089e+00 -1.8696e-01 7.1096e-01 6.9990e-01 4.1274e+35
7.8117e-03 7.5000e-01 -1.6089e+00 -1.8696e-01 7.1096e-01 6.9990e-01 4.1273e+35
7.8117e-03 7.6562e-01 -1.6089e+00 -1.8696e-01 7.1096e-01 6.9990e-01 4.1273e+35
7.8117e-03 7.8125e-01 -1.6089e+00 -1.8696e-01 7.1095e-01 6.9990e-01 4.1273e+35
7.8117e-03 7.9688e-01 -1.6089e+00 -1.8696e-01 7.1095e-01 6.9990e-01 4.1273e+35
7.8117e-03 8.1250e-01 -1.6089e+00 -1.8696e-01 7.1095e-01 6.9989e-01 4.1272e+35
7.8117e-03 8.2812e-01 -1.6089e+00 -1.8696e-01 7.1095e-01 6.9989e-01 4.1272e+35
7.8117e-03 8.4375e-01 -1.6089e+00 -1.8696e-01 7.1095e-01 6.9989e-01 4.1272e+35
7.8117e-03 8.5938e-01 -1.6089e+00 -1.8696e-01 7.1095e-01 6.9989e-01 4.1272e+35
7.8117e-03 8.7500e-01 -1.6088e+00 -1.8696e-01 7.1095e-01 6.9989e-01 4.1271e+35
7.8117e-03 8.9062e-01 -1.6088e+00 -1.8696e-01 7.1095e-01 6.9988e-01 4.1271e+35
7.8117e-03 9.0625e-01 -1.6088e+00 -1.8696e-01 7.1095e-01 6.9987e-01 4.1271e+35
7.8117e-03 9.2188e-01 -1.6088e+00 -1.8696e-01 7.1094e-01 6.9986e-01 4.1270e+35
7.8117e-03 9.3750e-01 -1.6088e+00 -1.8696e-01 7.1094e-01 6.9985e-01 4.1270e+35
7.8117e-03 9.5312e-01 -1.6088e+00 -1.8695e-01 7.1094e-01 6.9982e-01 4.1269e+35
7.8117e-03 9.6875e-01 -1.6088e+00 -1.8695e-01 7.1093e-01 6.9979e-01 4.1267e+35
7.8117e-03 9.8438e-01 -1.6088e+00 -1.8695e-01 7.1092e-01 6.9975e-01 4.1265e+35
7.8117e-03 1.0000e+00 -1.6088e+00 -1.8695e-01 7.1090e-01 6.9970e-01 4.1262e+35
1.5623e-02 0.0000e+00 -1.6084e+00 -1.8681e-01 7.1078e-01 6.9978e-01 4.1225e+35
1.5623e-02 1.5625e-02 -1.6084e+00 -1.8681e-01 7.1078e-01 6.9978e-01 4.1225e+35
1.5623e-02 3.1250e-02 -1.6084e+00 -1.8681e-01 7.1078e-01 6.9978e-01 4.1225e+35
1.5623e-02 4.6875e-02 -1.6084e+00 -1.8681e-01 7.1078e-01 6.9978e-01 4.1225e+35
1.5623e-02 6.2500e-02 -1.6084e+00 -1.8681e-01 7.1078e-01 6.9978e-01 4.1225e+35
1.5623e-02 7.8125e-02 -1.6084e+00 -1.8681e-01 7.1078e-01 6.9978e-01 4.1225e+35
1.5623e-02 9.3750e-02 -1.6084e+00 -1.8681e-01 7.1078e-01 6.9978e-01 4.1225e+35
1.5623e-02 1.0938e-01 -1.6084e+00 -1.8681e-01 7.1078e-01 6.9978e-01 4.1225e+35
1.5623e-02 1.2500e-01 -1.6084e+00 -1.8681e-01 7.1078e-01 6.9978e-01 4.1225e+35
1.5623e-02 1.4062e-01 -1.6084e+00 -1.8681e-01 7.1078e-01 6.9978e-01 4.1225e+35
1.5623e-02 1.5625e-01 -1.6084e+00 -1.8681e-01 7.1078e-01 6.9978e-01 4.1224e+35
1.5623e-02 1.7188e-01 -1.6084e+00 -1.8680e-01 7.1078e-01 6.9978e-01 4.1224e+35
1.5623e-02 1.8750e-01 -1.6084e+00 -1.8680e-01 7.1078e-01 6.9978e-01 4.1224e+35
1.5623e-02 2.0312e-01 -1.6084e+00 -1.8680e-01 7.1078e-01 6.9978e-01 4.1224e+35
1.5623e-02 2.1875e-01 -1.6084e+00 -1.8680e-01 7.1078e-01 6.9977e-01 4.1224e+35
1.5623e-02 2.3438e-01 -1.6084e+00 -1.8680e-01 7.1078e-01 6.9977e-01 4.1224e+35
1.5623e-02 2.5000e-01 -1.6084e+00 -1.8680e-01 7.1078e-01 6.9977e-01 4.1223e+35
1.5623e-02 2.6562e-01 -1.6084e+00 -1.8680e-01 7.1078e-01 6.9977e-01 4.1223e+35
1.5623e-02 2.8125e-01 -1.6084e+00 -1.8680e-01 7.1078e-01 6.9977e-01 4.1223e+35
1.5623e-02 2.9688e-01 -1.6084e+00 -1.8680e-01 7.1078e-01 6.9977e-01 4.1223e+35
1.5623e-02 3.1250e-01 -1.6084e+00 -1.8680e-01 7.1078e-01 6.9977e-01 4.1222e+35
1.5623e-02 3.2812e-01 -1.6084e+00 -1.8680e-01 7.1078e-01 6.9977e-01 4.1222e+35
1.5623e-02 3.4375e-01 -1.6084e+00 -1.8680e-01 7.1078e-01 6.9977e-01 4.1222e+35
1.5623e-02 3.5938e-01 -1.6084e+00 -1.8680e-01 7.1078e-01 6.9977e-01 4.1221e+35
1.5623e-02 3.7500e-01 -1.6084e+00 -1.8680e-01 7.1078e-01 6.9977e-01 4.1221e+35
1.5623e-02 3.9062e-01 -1.6084e+00 -1.8680e-01 7.1077e-01 6.9977e-01 4.1221e+35
1.5623e-02 4.0625e-01 -1.6084e+00 -1.8680e-01 7.1077e-01 6.9977e-01 4.1220e+35
1.5623e-02 4.2188e-01 -1.6084e+00 -1.8680e-01 7.1077e-01 6.9977e-01 4.1220e+35
1.5623e-02 4.3750e-01 -1.6084e+00 -1.8680e-01 7.1077e-01 6.9976e-01 4.1219e+35
1.5623e-02 4.5312e-01 -1.6084e+00 -1.8679e-01 7.1077e-01 6.9976e-01 4.1219e+35
1.5623e-02 4.6875e-01 -1.6084e+00 -1.8679e-01 7.1077e-01 6.9976e-01 4.1218e+35
1.5623e-02 4.8438e-01 -1.6084e+00 -1.8679e-01 7.1077e-01 6.9976e-01 4.1218e+35
1.5623e-02 5.0000e-01 -1.6084e+00 -1.8679e-01 7.1077e-01 6.9976e-01 4.1218e+35
1.5623e-02 5.1562e-01 -1.6084e+00 -1.8679e-01 7.1077e-01 6.9976e-01 4.1217e+35
1.5623e-02 5.3125e-01 -1.6084e+00 -1.8679e-01 7.1077e-01 6.9976e-01 4.1217e+35
1.5623e-02 5.4688e-01 -1.6084e+00 -1.8679e-01 7.1077e-01 6.9976e-01 4.1216e+35
1.5623e-02 5.6250e-01 -1.6084e+00 -1.8679e-01 7.1076e-01 6.9976e-01 4.1216e+35
1.5623e-02 5.7812e-01 -1.6084e+00 -1.8679e-01 7.1076e-01 6.9976e-01 4.1215e+35
1.5623e-02 5.9375e-01 -1.6083e+00 -1.8679e-01 7.1076e-01 6.9975e-01 4.1214e+35
1.5623e-02 6.0938e-01 -1.6083e+00 -1.8679e-01 7.1076e-01 6.9975e-01 4.1214e+35
1.5623e-02 6.2500e-01 -1.6083e+00 -1.8678e-01 7.1076e-01 6.9975e-01 4.1213e+35
1.5623e-02 6.4062e-01 -1.6083e+00 -1.8678e-01 7.1076e-01 6.9975e-01 4.1213e+35
1.5623e-02 6.5625e-01 -1.6083e+00 -1.8678e-01 7.1076e-01 6.9975e-01 4.1212e+35
1.5623e-02 6.7188e-01 -1.6083e+00 -1.8678e-01 7.1076e-01 6.9975e-01 4.1211e+35
1.5623e-02 6.8750e-01 -1.6083e+00 -1.8678e-01 7.1075e-01 6.9975e-01 4.1211e+35
1.5623e-02 7.0312e-01 -1.6083e+00 -1.8678e-01 7.1075e-01 6.9974e-01 4.1210e+35
1.5623e-02 7.1875e-01 -1.6083e+00 -1.8678e-01 7.1075e-01 6.9974e-01 4.1209e+35
1.5623e-02 7.3438e-01 -1.6083e+00 -1.8678e-01 7.1075e-01 6.9974e-01 4.1209e+35
1.5623e-02 7.5000e-01 -1.6083e+00 -1.8677e-01 7.1075e-01 6.9974e-01 4.1208e+35
1.5623e-02 7.6562e-01 -1.6083e+00 -1.8677e-01 7.1075e-01 6.9974e-01 4.1207e+35
