   rho_c        M         M_0         R         Omega      Omega_p       T/W           C*J/GM_s^2      I        h_plus       h_minus       Z_p      Z_b        Z_f       omega_c/Omega   r_e     r_ratio     Omega_pa    Omega+    u_phi
9.00000e+14 1.04879e+00 1.12429e+00 1.29134e+01 6.50040e-01 8.15066e-01 8.49552e-02 6.92912e-01 9.36808e-01 0.00000e+00 1.61782e+00 2.06972e-01 6.04815e-01 -1.73714e-01 3.79245e-01 3.06935e-01 6.71484e-01
r/(r+r_e)  cos(theta)     rho        gamma      alpha      omega     pressure
1.5623e-02 9.2188e-01 -6.5029e-01 -3.0931e-02 3.0968e-01 2.4642e-01 7.8288e+34
1.5623e-02 9.3750e-01 -6.5029e-01 -3.0931e-02 3.0968e-01 2.4642e-01 7.8286e+34
1.5623e-02 9.5312e-01 -6.5029e-01 -3.0930e-02 3.0968e-01 2.4642e-01 7.8285e+34
1.5623e-02 9.6875e-01 -6.5029e-01 -3.0930e-02 3.0968e-01 2.4641e-01 7.8283e+34
1.5623e-02 9.8438e-01 -6.5028e-01 -3.0930e-02 3.0968e-01 2.4641e-01 7.8282e+34
1.5623e-02 1.0000e+00 -6.5028e-01 -3.0928e-02 3.0968e-01 2.4641e-01 7.8280e+34
2.3435e-02 0.0000e+00 -6.5019e-01 -3.0918e-02 3.0963e-01 2.4638e-01 7.8256e+34
2.3435e-02 1.5625e-02 -6.5019e-01 -3.0918e-02 3.0963e-01 2.4638e-01 7.8256e+34
2.3435e-02 3.1250e-02 -6.5019e-01 -3.0918e-02 3.0963e-01 2.4638e-01 7.8256e+34
2.3435e-02 4.6875e-02 -6.5019e-01 -3.0918e-02 3.0963e-01 2.4638e-01 7.8256e+34
2.3435e-02 6.2500e-02 -6.5019e-01 -3.0918e-02 3.0963e-01 2.4638e-01 7.8256e+34
2.3435e-02 7.8125e-02 -6.5019e-01 -3.0918e-02 3.0963e-01 2.4638e-01 7.8255e+34
2.3435e-02 9.3750e-02 -6.5019e-01 -3.0918e-02 3.0963e-01 2.4638e-01 7.8255e+34
2.3435e-02 1.0938e-01 -6.5019e-01 -3.0917e-02 3.0963e-01 2.4638e-01 7.8255e+34
2.3435e-02 1.2500e-01 -6.5019e-01 -3.0917e-02 3.0963e-01 2.4638e-01 7.8254e+34
2.3435e-02 1.4062e-01 -6.5019e-01 -3.0917e-02 3.0963e-01 2.4638e-01 7.8254e+34
2.3435e-02 1.5625e-01 -6.5019e-01 -3.0917e-02 3.0963e-01 2.4638e-01 7.8254e+34
2.3435e-02 1.7188e-01 -6.5019e-01 -3.0917e-02 3.0963e-01 2.4638e-01 7.8253e+34
2.3435e-02 1.8750e-01 -6.5018e-01 -3.0917e-02 3.0963e-01 2.4638e-01 7.8252e+34
2.3435e-02 2.0312e-01 -6.5018e-01 -3.0917e-02 3.0963e-01 2.4638e-01 7.8252e+34
2.3435e-02 2.1875e-01 -6.5018e-01 -3.0917e-02 3.0963e-01 2.4638e-01 7.8251e+34
2.3435e-02 2.3438e-01 -6.5018e-01 -3.0917e-02 3.0962e-01 2.4638e-01 7.8251e+34
2.3435e-02 2.5000e-01 -6.5018e-01 -3.0917e-02 3.0962e-01 2.4638e-01 7.8250e+34
2.3435e-02 2.6562e-01 -6.5018e-01 -3.0916e-02 3.0962e-01 2.4638e-01 7.8249e+34
2.3435e-02 2.8125e-01 -6.5018e-01 -3.0916e-02 3.0962e-01 2.4638e-01 7.8248e+34
2.3435e-02 2.9688e-01 -6.5018e-01 -3.0916e-02 3.0962e-01 2.4637e-01 7.8247e+34
2.3435e-02 3.1250e-01 -6.5018e-01 -3.0916e-02 3.0962e-01 2.4637e-01 7.8246e+34
2.3435e-02 3.2812e-01 -6.5017e-01 -3.0916e-02 3.0962e-01 2.4637e-01 7.8245e+34
